total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
6820,182,34,-1.0,5.963833332061768,False,2025-10-25 14:17:45,0,0.0,148011761664.0,0.9318781899999999
6856,183,36,-1.0,5.291780710220337,False,2025-10-25 14:17:51,0,0.0,161512554496.0,0.9315185500000001
6894,184,38,-1.0,6.682363033294678,False,2025-10-25 14:17:58,0,0.0,167705182208.0,0.93113893
6940,185,46,1.0,9.756041765213013,True,2025-10-25 14:18:09,0,0.0,128726097920.0,0.93067939
6968,186,28,-1.0,3.785153865814209,False,2025-10-25 14:18:13,0,0.0,114632515584.0,0.93039967
6993,187,25,-1.0,3.2420244216918945,False,2025-10-25 14:18:17,0,0.0,110053793792.0,0.93014992
7040,188,47,-1.0,83.98632621765137,False,2025-10-25 14:19:42,0,0.0,101924978688.0,0.92968039
7094,189,54,-1.0,11.127641201019287,False,2025-10-25 14:19:54,0,0.0,194811756544.0,0.92914093
7118,190,24,-1.0,3.754549980163574,False,2025-10-25 14:19:59,0,0.0,214154510336.0,0.92890117
7151,191,33,-1.0,6.278891324996948,False,2025-10-25 14:20:06,0,0.0,230758350848.0,0.9285715
7211,192,60,-1.0,12.990421056747437,False,2025-10-25 14:20:20,0,0.0,223797133312.0,0.9279721
7243,193,32,-1.0,4.345193386077881,False,2025-10-25 14:20:25,0,0.0,381007364096.0,0.92765242
7272,194,29,-1.0,4.934282064437866,False,2025-10-25 14:20:31,0,0.0,246556803072.0,0.92736271
7328,195,56,-1.0,11.86653733253479,False,2025-10-25 14:20:43,0,0.0,290035662848.0,0.92680327
7365,196,37,-1.0,5.203540325164795,False,2025-10-25 14:20:49,0,0.0,356378411008.0,0.92643364
7389,197,24,-1.0,3.163557767868042,False,2025-10-25 14:20:54,0,0.0,483816472576.0,0.92619388
7417,198,28,-1.0,3.8316075801849365,False,2025-10-25 14:20:59,0,0.0,670463557632.0,0.92591416
7454,199,37,1.0,6.792712926864624,True,2025-10-25 14:21:06,0,0.0,450498658304.0,0.92554453
7477,200,23,-1.0,2.645411968231201,False,2025-10-25 14:21:10,0,0.0,373687582720.0,0.92531476
7518,201,41,1.0,6.504479646682739,True,2025-10-25 14:21:17,0,0.0,496467574784.0,0.9249051699999999
7549,202,31,1.0,7.31446647644043,True,2025-10-25 14:21:26,0,0.0,855343104000.0,0.92459548
7582,203,33,-1.0,5.898852348327637,False,2025-10-25 14:21:35,0,0.0,511265079296.0,0.92426581
7623,204,41,-1.0,7.683730840682983,False,2025-10-25 14:21:44,0,0.0,511198199808.0,0.92385622
7667,205,44,-1.0,7.79592227935791,False,2025-10-25 14:21:55,0,0.0,543704481792.0,0.92341666
7720,206,53,-1.0,10.977814674377441,False,2025-10-25 14:22:07,0,0.0,503536484352.0,0.92288719
7740,207,20,-1.0,2.1916117668151855,False,2025-10-25 14:22:10,0,0.0,632069292032.0,0.92268739
7786,208,46,-1.0,8.715402126312256,False,2025-10-25 14:22:19,0,0.0,797355212800.0,0.92222785
7825,209,39,-1.0,5.980982065200806,False,2025-10-25 14:22:26,0,0.0,862168547328.0,0.92183824
7878,210,53,1.0,10.249260902404785,True,2025-10-25 14:22:37,0,0.0,693556346880.0,0.92130877
7909,211,31,-1.0,5.470111131668091,False,2025-10-25 14:22:43,0,0.0,1359264088064.0,0.92099908
7936,212,27,-1.0,3.898806571960449,False,2025-10-25 14:22:48,0,0.0,1328016523264.0,0.92072935
7976,213,40,-1.0,6.4208948612213135,False,2025-10-25 14:22:55,0,0.0,1388751355904.0,0.9203297500000001
8032,214,56,1.0,70.85295510292053,True,2025-10-25 14:24:07,0,0.0,2048371982336.0,0.91977031
8063,215,31,-1.0,4.261118412017822,False,2025-10-25 14:24:12,0,0.0,1667082092544.0,0.91946062
8095,216,32,-1.0,5.549314737319946,False,2025-10-25 14:24:20,0,0.0,2212054433792.0,0.91914094
8146,217,51,-1.0,8.721400022506714,False,2025-10-25 14:24:30,0,0.0,3230678384640.0,0.91863145
8166,218,20,-1.0,3.550949811935425,False,2025-10-25 14:24:34,0,0.0,2737156915200.0,0.91843165
8194,219,28,1.0,3.6050148010253906,True,2025-10-25 14:24:39,0,0.0,2010993655808.0,0.91815193
8224,220,30,-1.0,4.068610906600952,False,2025-10-25 14:24:44,0,0.0,2352655368192.0,0.91785223
8260,221,36,-1.0,6.183999538421631,False,2025-10-25 14:24:51,0,0.0,3320798773248.0,0.9174925899999999
8295,222,35,-1.0,5.250931739807129,False,2025-10-25 14:24:58,0,0.0,2113378189312.0,0.91714294
8333,223,38,-1.0,7.74191427230835,False,2025-10-25 14:25:06,0,0.0,4444731211776.0,0.91676332
8360,224,27,-1.0,3.8468704223632812,False,2025-10-25 14:25:11,0,0.0,2380610142208.0,0.91649359
8426,225,66,-1.0,14.192408800125122,False,2025-10-25 14:25:26,0,0.0,3863057793024.0,0.91583425
8461,226,35,-1.0,5.9934751987457275,False,2025-10-25 14:25:33,0,0.0,5197555826688.0,0.9154846
8494,227,33,1.0,5.092652082443237,True,2025-10-25 14:25:39,0,0.0,4319527043072.0,0.91515493
