total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
4594,116,42,-0.9861079136690648,8.551677703857422,False,2025-10-25 18:53:46,0,0.0,0.03281162679195404,0.95411593
4629,117,35,-1.5707212760593043,7.212880373001099,False,2025-10-25 18:53:54,0,0.0,0.03978324308991432,0.95376628
4662,118,33,1.226490243250468,5.954920768737793,True,2025-10-25 18:54:01,0,0.0,0.06174667179584503,0.95343661
4694,119,32,-1.390415096157546,5.246965646743774,False,2025-10-25 18:54:07,0,0.0,0.025427645072340965,0.95311693
4769,120,75,-1.4163570896890225,20.486464262008667,False,2025-10-25 18:54:29,0,0.0,0.02764156460762024,0.95236768
4820,121,51,-1.0795998960580555,11.563224077224731,False,2025-10-25 18:54:41,0,0.0,0.09645009785890579,0.95185819
4878,122,58,-1.592807080859106,11.626631736755371,False,2025-10-25 18:54:54,0,0.0,0.12771928310394287,0.95127877
4903,123,25,-1.6339646643109544,2.845834732055664,False,2025-10-25 18:54:58,0,0.0,0.06292654573917389,0.95102902
5046,124,143,-1.7335538878463193,159.72295880317688,False,2025-10-25 18:57:39,0,0.0,0.02247251570224762,0.94960045
5085,125,39,-1.2463020522442179,7.321489572525024,False,2025-10-25 18:57:47,0,0.0,0.05924994498491287,0.94921084
5119,126,34,-1.9511050517157982,6.623196125030518,False,2025-10-25 18:57:54,0,0.0,0.04433640465140343,0.94887118
5160,127,41,-1.2575527623613114,8.485025405883789,False,2025-10-25 18:58:03,0,0.0,0.034177444875240326,0.94846159
5186,128,26,-1.140309096367029,3.708758592605591,False,2025-10-25 18:58:08,0,0.0,0.02494283951818943,0.94820185
5219,129,33,-1.2170774599931906,5.680327653884888,False,2025-10-25 18:58:15,0,0.0,0.02967778593301773,0.94787218
5249,130,30,-1.41124282631713,4.62896728515625,False,2025-10-25 18:58:20,0,0.0,0.046950098127126694,0.94757248
5283,131,34,-1.5721657713520272,5.33277702331543,False,2025-10-25 18:58:26,0,0.0,0.03714893385767937,0.94723282
5324,132,41,-1.6248504816417706,6.1500489711761475,False,2025-10-25 18:58:33,0,0.0,0.033999692648649216,0.94682323
5351,133,27,-1.363839639738591,4.6689772605896,False,2025-10-25 18:58:38,0,0.0,0.02718520537018776,0.9465535
5388,134,37,-1.2907496763563613,6.517053842544556,False,2025-10-25 18:58:46,0,0.0,0.050247177481651306,0.94618387
5417,135,29,-1.4255283018867926,6.124339818954468,False,2025-10-25 18:58:53,0,0.0,0.020989710465073586,0.94589416
5451,136,34,-1.1855312647429446,6.5713441371917725,False,2025-10-25 18:59:01,0,0.0,0.03697425499558449,0.9455545
5507,137,56,-1.5760119996543427,15.399806022644043,False,2025-10-25 18:59:17,0,0.0,0.018772512674331665,0.94499506
5547,138,40,1.4149992754549718,6.943944931030273,True,2025-10-25 18:59:25,0,0.0,0.15764443576335907,0.9445954599999999
